-110.9527319391,32.2359870561
-110.9524045420,32.2360723000
-110.9524180977,32.2363225980
-110.9524240390,32.2365606862
-110.9524326291,32.2369180481
-110.9524384618,32.2371660816
-110.9524428465,32.2374178698
-110.9524458044,32.2377790540
-110.9524485004,32.2381082588
-110.9524508945,32.2384006601
-110.9522670767,32.2386286844
-110.9519036642,32.2386300315
-110.9515695223,32.2386312694
-110.9512505267,32.2386324514
-110.9508783192,32.2386350856
-110.9505274910,32.2386370857
-110.9502062066,32.2386389179
-110.9498841612,32.2386407541
-110.9497358792,32.2388729834
-110.9497379117,32.2391239726
-110.9497380295,32.2393875845
-110.9497380295,32.2396132197
-110.9497395338,32.2398388327
-110.9497416233,32.2401339790
-110.9497456620,32.2403951487
-110.9497499277,32.2406320737
-110.9500659165,32.2406377525
-110.9503325272,32.2406344260
-110.9506357354,32.2406310579
-110.9509050646,32.2406293575
-110.9511868144,32.2406282863
-110.9514706460,32.2406257634
-110.9517758756,32.2406226391
-110.9520782193,32.2406195446
-110.9523535465,32.2406167265
-110.9524631982,32.2408867583
-110.9524626442,32.2412787701
-110.9524621897,32.2416006487
-110.9524639886,32.2420976891
-110.9524658496,32.2425678123
-110.9524739912,32.2430251474
-110.9524759361,32.2433118417
-110.9524768961,32.2437000089
-110.9524796588,32.2441228036
-110.9524821767,32.2445073695
-110.9524851470,32.2448744434
-110.9524886196,32.2452096427
-110.9524910431,32.2454436148
-110.9524943337,32.2457612237
-110.9524952694,32.2461231906
-110.9524971004,32.2464615400
-110.9524996916,32.2467902796
-110.9525016279,32.2470386434
-110.9525041484,32.2473618969
-110.9525067206,32.2476918290
-110.9525095442,32.2479951209
-110.9525130555,32.2483302927
-110.9525163041,32.2486404670
-110.9525193897,32.2490244877
-110.9525211414,32.2493636553
-110.9525223764,32.2496029123
-110.9523529907,32.2498171986
-110.9519620632,32.2497969639
-110.9513949541,32.2497985789
-110.9510466298,32.2498003620
-110.9503951441,32.2498052847
-110.9498245446,32.2498094346
-110.9491794897,32.2498105157
-110.9487630087,32.2498137118
-110.9482202071,32.2498177766
-110.9476775837,32.2498395351
-110.9471522283,32.2498674571
-110.9466517296,32.2498825813
-110.9461692949,32.2498545334
-110.9458792094,32.2498523234
-110.9454935213,32.2498922595
-110.9451539144,32.2499478539
-110.9448460928,32.2500318954
-110.9445458193,32.2501292636
-110.9442762046,32.2501680119
-110.9439860835,32.2502591723
-110.9439290968,32.2507507727
-110.9438979573,32.2512274742
-110.9438748084,32.2517875621
-110.9438736395,32.2523096413
-110.9438714351,32.2527911695
-110.9438931839,32.2533633903
-110.9439216351,32.2538771869
-110.9439154753,32.2541760769
-110.9439029517,32.2545265650
-110.9438845184,32.2550156440
-110.9438575289,32.2553404698
-110.9438306013,32.2558319118
-110.9438203526,32.2563151957
-110.9438124534,32.2567426070
-110.9438604514,32.2571010601
-110.9438529968,32.2574320892
-110.9440888905,32.2575676497
-110.9444934031,32.2575661202
-110.9448369020,32.2575648210
-110.9452154386,32.2575633890
-110.9458556411,32.2575633187
-110.9464286568,32.2575637506
-110.9470094281,32.2575640624
-110.9473484460,32.2575640624
-110.9478669328,32.2575640624
-110.9481765597,32.2575640624
-110.9487643534,32.2575637999
-110.9491501838,32.2575636271
-110.9497308029,32.2575633680
-110.9501090932,32.2575631991
-110.9506631939,32.2575629510
-110.9511395366,32.2575616297
-110.9515770981,32.2575612902
-110.9519377969,32.2575610106
-110.9522044619,32.2575608040
-110.9524044705,32.2579226546
-110.9524044705,32.2582493111
-110.9524044705,32.2585883567
-110.9524044705,32.2589204321
-110.9524044705,32.2594301578
-110.9524019049,32.2598895577
-110.9523985704,32.2604485225
-110.9523954298,32.2609749645
-110.9523922971,32.2614677667
-110.9523898421,32.2618241790
-110.9523861849,32.2621404349
-110.9523801748,32.2626476668
-110.9523763040,32.2631353353
-110.9523763040,32.2633879441
-110.9523693608,32.2638194790
-110.9523553571,32.2640950230
-110.9523336179,32.2644039790
-110.9523185396,32.2646743903
-110.9525401689,32.2647999803
-110.9529205698,32.2647994172
-110.9533587973,32.2647971497
-110.9540569647,32.2647952271
-110.9544873852,32.2647947675
-110.9550440556,32.2647951125
