33.8686790466,-117.9253540039
33.8694648743,-117.9239654541
33.8693351746,-117.9222793579
33.8693351746,-117.9206085205
33.8680763245,-117.9198684692
33.8665924072,-117.919960022
33.8651008606,-117.9199981689
33.8647117615,-117.9199981689
33.8632202148,-117.9199981689
33.861831665,-117.9199676514
33.8604011536,-117.9199752808
33.8589820862,-117.9199676514
33.8575820923,-117.9199523926
33.8560791016,-117.9199295044
33.8546943665,-117.9199142456
33.8538246155,-117.918510437
33.8537521362,-117.9167556763
33.8536834717,-117.9150466919
33.8536338806,-117.9133529663
33.8536682129,-117.9116668701
33.8536834717,-117.9099655151
33.8537025452,-117.9081497192
33.8537216187,-117.9062042236
33.8537521362,-117.9044799805
33.8537597656,-117.9026794434
33.8537483215,-117.900894165
33.8538131714,-117.8992233276
33.8538208008,-117.897567749
33.8538665771,-117.8959197998
33.8539810181,-117.8938903809
33.8540992737,-117.8921661377
33.8541107178,-117.8911437988
33.8540916443,-117.8893203735
33.8539886475,-117.8875350952
33.8536567688,-117.8857574463
33.8531150818,-117.8840179443
33.8524894714,-117.8824768066
33.8518753052,-117.8809509277
33.8512229919,-117.8793563843
33.8505020142,-117.8777694702
33.8497924805,-117.8762512207
33.8490715027,-117.8745117188
33.8483467102,-117.8727874756
33.8476905823,-117.871307373
33.847038269,-117.8698272705
33.8466072083,-117.8682098389
33.8463478088,-117.8665237427
33.8462371826,-117.8647384644
33.8462524414,-117.8630218506
33.8463592529,-117.8613433838
33.8466835022,-117.8595275879
33.8471298218,-117.8578872681
33.8475723267,-117.8561782837
33.8479652405,-117.8545684814
33.8483848572,-117.8527984619
33.8488502502,-117.851020813
33.8493232727,-117.8493118286
33.8498191833,-117.8475799561
33.8502426147,-117.8459014893
33.8506889343,-117.8440628052
33.8511047363,-117.8423995972
33.8514251709,-117.8405151367
33.8512496948,-117.838722229
33.8504638672,-117.8368453979
33.8494987488,-117.8353881836
33.8485336304,-117.8341064453
33.8476066589,-117.8328781128
33.846572876,-117.8315429688
33.845489502,-117.8301696777
33.8445510864,-117.8289413452
33.8439750671,-117.8274230957
33.8441581726,-117.825553894
33.8448448181,-117.8238220215
33.8455085754,-117.8222579956
33.8461723328,-117.8207015991
33.8468589783,-117.8191452026
33.8477478027,-117.8176040649
33.8487434387,-117.81615448
33.848449707,-117.8161468506
33.8475379944,-117.8176116943
33.8467140198,-117.8190002441
33.8459777832,-117.8205566406
33.8452835083,-117.8221435547
33.8445510864,-117.8238754272
33.8439292908,-117.8254699707
33.8434753418,-117.8271789551
33.8428573608,-117.8286514282
33.8419113159,-117.8299942017
33.8409118652,-117.831199646
33.8400306702,-117.8325119019
33.8388900757,-117.8335952759
33.8375587463,-117.8340301514
33.836025238,-117.8340072632
33.8351402283,-117.8327255249
33.8360481262,-117.831413269
33.8372879028,-117.8304824829
33.8378829956,-117.8287124634
33.8377876282,-117.8269577026
